UID1	set([])	set([])
UID2	set([])	set([])
UID3	set([])	set([])
UID4	set(['pfam08459'])	set([])
UID5	set(['pfam08459'])	set([])
UID6	set(['pfam08459'])	set([])
UID7	set(['pfam08459'])	set([])
UID8	set(['pfam08459'])	set([])
UID9	set(['pfam08459'])	set([])
UID10	set(['pfam08459'])	set([])
UID11	set(['pfam08459'])	set([])
UID12	set(['pfam08459'])	set([])
UID13	set([])	set([])
UID14	set(['pfam08459'])	set([])
UID15	set([])	set([])
UID16	set([])	set([])
UID17	set([])	set([])
UID18	set([])	set([])
UID19	set([])	set([])
UID20	set([])	set([])
UID21	set(['pfam08459'])	set([])
UID22	set(['pfam08459'])	set([])
UID23	set(['pfam08459'])	set([])
UID24	set(['pfam08459'])	set([])
UID25	set(['pfam08459'])	set([])
UID26	set(['pfam08459'])	set([])
UID27	set(['pfam08459'])	set([])
UID28	set(['pfam08459'])	set([])
UID29	set(['pfam01174', 'pfam08459'])	set([])
UID30	set(['pfam08459'])	set([])
UID31	set(['pfam08459'])	set([])
UID32	set(['pfam13184', 'pfam08459'])	set([])
UID33	set(['pfam08459'])	set([])
UID34	set(['pfam13184', 'pfam08459'])	set([])
UID35	set(['pfam13184', 'pfam08459'])	set([])
UID36	set([])	set([])
UID37	set([])	set([])
UID38	set([])	set([])
UID39	set([])	set([])
UID40	set(['pfam13184'])	set([])
UID41	set(['pfam13184'])	set([])
UID42	set(['pfam13184'])	set([])
UID43	set(['pfam13184'])	set([])
UID44	set(['pfam13184'])	set([])
UID45	set([])	set([])
UID46	set([])	set([])
UID47	set([])	set([])
UID48	set([])	set(['pfam00338'])
UID49	set([])	set(['pfam00338'])
UID50	set(['pfam13184', 'pfam08459'])	set([])
UID51	set(['pfam13184', 'pfam08459'])	set([])
UID52	set(['pfam13184', 'pfam08459'])	set([])
UID53	set(['pfam13184', 'pfam08459'])	set([])
UID54	set([])	set(['pfam00338'])
UID55	set(['pfam13184'])	set([])
UID56	set(['pfam13184'])	set([])
UID57	set(['pfam13184'])	set([])
UID58	set(['pfam13184'])	set(['pfam02787', 'pfam04104'])
UID59	set([])	set(['pfam04104'])
UID60	set(['pfam13184'])	set([])
UID61	set(['pfam13184'])	set([])
UID62	set(['pfam13184'])	set(['pfam00162'])
UID63	set(['pfam13184'])	set([])
UID64	set(['pfam13184'])	set([])
UID65	set(['pfam13184'])	set([])
UID66	set(['pfam13184'])	set(['pfam00867', 'pfam00752'])
UID67	set(['pfam13184'])	set(['pfam00867', 'pfam00752'])
UID68	set(['pfam13184'])	set(['pfam00867', 'pfam00752'])
